Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
1509,Male,Mid-skinned,3,"['Chinstrap', 'Nerd Glasses', 'Peak Spike']",6149,,0x51853e
1510,Male,Light-skinned,2,"['3D Glasses', 'Cap']",6368,,0x3DeE68
1511,Male,Light-skinned,2,"['Goat', 'Messy Hair']",7349,,0xD24FF5
1512,Female,Dark-skinned,2,"['Mohawk Thin', 'Mole']",9271,,0x9113D4
1513,Female,Light-skinned,4,"['Black Lipstick', 'Frumpy Hair', 'Mole', 'Welding Goggles']",461,,0xbb1eC7
1514,Female,Dark-skinned,3,"['Hot Lipstick', 'Pink With Hat', 'Regular Shades']",719,,0x670D75
1515,Male,Mid-skinned,3,"['Front Beard Dark', 'Mohawk Dark', 'VR']",5057,,0x0f19B8
1516,Male,Light-skinned,2,"['Knitted Cap', 'Mole']",8922,,0x28d17d
1517,Male,Mid-skinned,3,"['Earring', 'Knitted Cap', 'Small Shades']",8264,,0xAfd37C
1518,Male,Dark-skinned,3,"['Classic Shades', 'Knitted Cap', 'Mustache']",6646,,0xB88F61
1519,Male,Albino-skinned,1,['Messy Hair'],8095,,0x69021A
1520,Female,Light-skinned,3,"['Clown Eyes Green', 'Medical Mask', 'Mohawk Dark']",3543,,0x0E9AED
1521,Male,Light-skinned,2,"['Crazy Hair', 'Mustache']",6643,,0xf6Bc89
1522,Male,Light-skinned,3,"['Classic Shades', 'Muttonchops', 'Purple Hair']",3201,,0xB47A70
1523,Female,Mid-skinned,2,"['Blue Eye Shadow', 'Pigtails']",581,,0x6611fE
1524,Male,Dark-skinned,2,"['Earring', 'Frumpy Hair']",9467,,0xB88F61
